timestamp,price,volume
1630465800000,1.17286,79
1630465860000,1.17352,44
1630465920000,1.17064,93
1630465980000,1.17037,55
1630466040000,1.17253,56
1630466100000,1.17471,39
1630466160000,1.17389,57
1630466220000,1.17354,60
1630466280000,1.17315,79
1630466340000,1.17171,55
1630466400000,1.17047,106
1630466460000,1.16934,95
1630466520000,1.16915,79
1630466580000,1.17002,40
1630466640000,1.17295,58
1630466700000,1.17322,65
1630466760000,1.17358,49
1630466820000,1.17435,98
1630466880000,1.17219,137
1630466940000,1.17531,172
1630467000000,1.17575,137
1630467060000,1.17469,58
1630467120000,1.17311,83
1630467180000,1.17327,49
1630467240000,1.1737,65
1630467300000,1.17298,48
1630467360000,1.17202,65
1630467420000,1.17192,58
1630467480000,1.17524,68
1630467540000,1.17648,62
1630467600000,1.17633,105
1630467660000,1.18049,190
1630467720000,1.18034,162
1630467780000,1.18378,222
1630467840000,1.18162,295
1630467900000,1.1841,48
1630467960000,1.18223,57
1630468020000,1.1817,64
1630468080000,1.18314,46
1630468140000,1.18337,82
1630468200000,1.18293,70
1630468260000,1.18298,40
1630468320000,1.18377,64
1630468380000,1.18277,95
1630468440000,1.18129,53
1630468500000,1.1838,51
1630468560000,1.182,142
1630468620000,1.18469,64
1630468680000,1.18482,52
1630468740000,1.18725,60
1630468800000,1.18448,69
1630468860000,1.18262,50
1630468920000,1.18197,55
1630468980000,1.18347,77
1630469040000,1.18239,80
1630469100000,1.18149,97
1630469160000,1.18429,69
1630469220000,1.18529,62
1630469280000,1.18317,486
1630469340000,1.18264,65
1630469400000,1.1838,55
1630469460000,1.18491,57
1630469520000,1.18567,81
1630469580000,1.18692,67
1630469640000,1.18733,105
1630469700000,1.18513,51
1630469760000,1.18462,72
1630469820000,1.18366,83
1630469880000,1.18516,176
1630469940000,1.18615,106
1630470000000,1.18669,88
1630470060000,1.19064,60
1630470120000,1.19044,51
1630470180000,1.19024,50
1630470240000,1.1885,178
1630470300000,1.18948,111
1630470360000,1.19011,60
1630470420000,1.18905,67
1630470480000,1.18957,48
1630470540000,1.18831,62
1630470600000,1.18803,46
1630470660000,1.18774,44
1630470720000,1.18712,47
1630470780000,1.18621,100
1630470840000,1.18599,47
1630470900000,1.18801,52
1630470960000,1.18735,108
1630471020000,1.18389,81
1630471080000,1.1826,181
1630471140000,1.18496,50
1630471200000,1.18344,89
1630471260000,1.18382,41
1630471320000,1.18459,63
1630471380000,1.18438,76
1630471440000,1.18488,39
1630471500000,1.18555,47
1630471560000,1.18762,49
1630471620000,1.18882,141
1630471680000,1.18816,95
1630471740000,1.18847,48
